@RELATION MSCorpus

@ATTRIBUTE attribute_3 {Focalization,NA,foc}
@ATTRIBUTE attribute_4 {B,NA,Perspective}
@ATTRIBUTE attribute_5 {Contrast,Insistence,NA,Repetition,StrongFeelings,detEmphasis}
@ATTRIBUTE attribute_6 {E,Emphasis,NA}
@ATTRIBUTE attribute_7 {NA,NoImage}
@ATTRIBUTE attribute_8 {NA,Rh,S,SP,Th,Them_level1,_,question}
NA,NA,NA,NA,NA,Rh,NA,NA,NA,SV,SN,SAdv,SAdj,NA,NA,Rh,Rh,Rh,NA
NA,NA,NA,NA,NoImage,SP,NA,NA,NA,SV,NA,NA,NA,NA,NA,SP,SP,SP,NA
NA,NA,NA,NA,NoImage,SP,NA,NA,NA,SPrep,NA,NA,NA,NA,NA,SP,SP,SP,NA
NA,NA,NA,NA,NoImage,SP,NA,NA,NA,SPrep,SV,SN,NA,NA,NA,SP,SP,SP,NA
NA,NA,NA,NA,NoImage,SP,NA,NA,NA,SPrep,SV,SN,NA,NA,NA,SP,SP,SP,NA
NA,NA,NA,NA,NoImage,SP,NA,NA,NA,SPrep,SV,SN,NA,NA,NA,SP,SP,SP,NA
NA,NA,NA,NA,NoImage,SP,NA,NA,NA,SPrep,SV,SN,NA,NA,NA,SP,SP,SP,NA
NA,NA,NA,NA,NoImage,SP,NA,NA,NA,SPrep,SV,NA,NA,NA,NA,SP,SP,SP,NA
NA,NA,NA,NA,NoImage,SP,NA,NA,NA,SPrep,SV,SPrep,NA,NA,NA,SP,SP,SP,NA
NA,NA,NA,NA,NoImage,SP,NA,NA,NA,SPrep,SV,SPrep,SN,NA,NA,SP,SP,SP,NA
NA,NA,NA,NA,NA,SP,NA,NA,NA,SPrep,SV,SPrep,SN,SPrep,NA,SP,SP,SP,NA
NA,NA,NA,NA,NA,SP,NA,NA,NA,SPrep,SV,SPrep,SN,SN,NA,SP,SP,SP,NA
NA,NA,NA,NA,NA,SP,NA,NA,NA,SPrep,SV,SPrep,SN,SN,preparation,SP,SP,SP,NA
NA,NA,NA,NA,NA,SP,NA,NA,NA,SPrep,SV,SPrep,SN,NA,stroke,SP,SP,SP,beat
NA,NA,NA,NA,NA,SP,NA,NA,NA,SPrep,SV,SPrep,SN,NA,NA,SP,SP,SP,NA
NA,NA,NA,NA,NA,SP,NA,NA,NA,SPrep,SV,SPrep,SN,NA,preparation,SP,SP,SP,NA
NA,NA,NA,NA,NA,SP,NA,NA,NA,SPrep,SV,SPrep,NA,NA,preparation,SP,SP,SP,NA
NA,NA,NA,NA,NA,SP,NA,NA,NA,SPrep,SV,SPrep,SN,NA,stroke,SP,SP,SP,beat
NA,NA,NA,NA,NA,SP,NA,NA,NA,SPrep,SV,SPrep,NA,NA,preparation,SP,SP,SP,NA
NA,NA,NA,NA,NA,SP,NA,NA,NA,SPrep,SV,SPrep,SN,NA,preparation,SP,SP,SP,NA
NA,NA,NA,NA,NA,SP,NA,NA,NA,SPrep,SV,SPrep,SN,NA,stroke,SP,SP,SP,beat
NA,NA,NA,NA,NA,SP,NA,NA,NA,SPrep,SV,SPrep,NA,NA,relax,SP,SP,SP,NA
NA,NA,NA,NA,NA,SP,NA,NA,NA,SPrep,SV,SPrep,SN,NA,relax,SP,SP,SP,NA
NA,NA,NA,NA,NA,SP,NA,NA,NA,SPrep,SV,SPrep,SN,SPrep,preparation,SP,SP,SP,NA
NA,NA,NA,NA,NA,SP,NA,NA,NA,SPrep,SV,SPrep,SN,SN,preparation,SP,SP,SP,NA
NA,NA,NA,NA,NA,SP,NA,NA,NA,SPrep,SV,SPrep,SN,SAdj,stroke,SP,SP,SP,beat
NA,NA,NA,NA,NA,SP,NA,NA,NA,SPrep,SV,SPrep,NA,NA,stroke,SP,SP,SP,beat
NA,NA,NA,NA,NA,SP,NA,NA,NA,SPrep,SV,SPrep,NA,NA,relax,SP,SP,SP,NA
NA,NA,NA,NA,NA,SP,NA,NA,NA,SPrep,SV,SPrep,SAdv,NA,relax,SP,SP,SP,NA
NA,NA,NA,NA,NA,SP,NA,NA,NA,SPrep,SV,SPrep,SAdv,SN,stroke,SP,SP,SP,beat
NA,B,NA,NA,NA,SP,Rh,NA,NA,SV,NA,NA,NA,NA,NA,Rh(SP),Rh(SP),Rh(SP),beat
NA,B,NA,NA,NA,SP,Rh,NA,NA,SV,NA,NA,NA,NA,NA,Rh(SP),Rh(SP),Rh(SP),NA
NA,B,NA,NA,NA,SP,Rh,NA,NA,SV,SPrep,NA,NA,NA,NA,Rh(SP),Rh(SP),Rh(SP),NA
NA,B,NA,NA,NA,SP,Rh,NA,NA,SV,SPron,NA,NA,NA,NA,Rh(SP),Rh(SP),Rh(SP),NA
NA,B,NA,NA,NA,SP,Th,NA,NA,SN,NA,NA,NA,NA,preparation,Th(SP),Th(SP),Th(SP),semantic
NA,B,NA,NA,NA,SP,Rh,NA,NA,SV,NA,NA,NA,NA,preparation,Rh(SP),Rh(SP),Rh(SP),semantic
NA,B,NA,NA,NA,SP,Rh,NA,NA,SV,SN,NA,NA,NA,NA,Rh(SP),Rh(SP),Rh(SP),beat
NA,B,NA,NA,NA,SP,Rh,NA,NA,SV,SN,NA,NA,NA,stroke,Rh(SP),Rh(SP),Rh(SP),beat
NA,B,NA,NA,NA,SP,Rh,NA,NA,SV,SN,NA,NA,NA,NA,Rh(SP),Rh(SP),Rh(SP),NA
NA,B,NA,NA,NA,SP,Rh,NA,NA,SV,SN,SAdj,NA,NA,relax,Rh(SP),Rh(SP),Rh(SP),NA
NA,B,NA,NA,NA,SP,Rh,NA,NA,SV,SN,NA,NA,NA,relax,Rh(SP),Rh(SP),Rh(SP),NA
NA,B,NA,NA,NA,SP,Rh,NA,NA,SV,SN,SPrep,NA,NA,relax,Rh(SP),Rh(SP),Rh(SP),NA
NA,B,NA,NA,NA,SP,Rh,NA,NA,SV,SN,SPrep,SN,NA,relax,Rh(SP),Rh(SP),Rh(SP),NA
NA,NA,NA,NA,NA,Th,NA,NA,NA,SN,NA,NA,NA,NA,NA,Th,Th,Th,NA
NA,NA,NA,NA,NA,Th,NA,NA,NA,SN,NA,NA,NA,NA,NA,Th,Th,Th,NA
NA,NA,NA,NA,NA,Th,NA,NA,NA,SN,SAdj,NA,NA,NA,relax,Th,Th,Th,NA
NA,NA,NA,NA,NA,Th,NA,NA,NA,SN,SPrep,NA,NA,NA,NA,Th,Th,Th,NA
NA,NA,NA,NA,NA,Th,NA,NA,NA,SN,SPrep,SN,NA,NA,NA,Th,Th,Th,NA
NA,NA,NA,NA,NA,Th,NA,NA,NA,SN,SPrep,SN,NA,NA,preparation,Th,Th,Th,NA
NA,NA,NA,NA,NA,Th,NA,NA,NA,SN,SPrep,NA,NA,NA,preparation,Th,Th,Th,NA
NA,NA,NA,NA,NA,Th,NA,NA,NA,SN,SPrep,NA,NA,NA,NA,Th,Th,Th,beat
NA,NA,NA,NA,NA,Th,NA,NA,NA,SN,SPrep,NA,NA,NA,NA,Th,Th,Th,NA
NA,NA,NA,NA,NA,Th,NA,NA,NA,SN,SPrep,SN,NA,NA,NA,Th,Th,Th,NA
NA,NA,NA,NA,NA,Th,NA,NA,NA,SN,SPrep,SN,NA,NA,NA,Th,Th,Th,NA
NA,NA,NA,NA,NA,Th,NA,NA,NA,SN,SPrep,SN,SAdj,NA,stroke,Th,Th,Th,beat
